Feature_ID,Main_domain,Finer_grouping,Feature
GB139,clause,TAME,Is there a difference between imperative (prohibitive) and declarative negation constructions?
GB152,clause,TAME,Is there a morphologically marked distinction between simultaneous and sequential clauses?
GB257,clause,VP (other),Can polar interrogation be marked by intonation only?
GB285,clause,VP (other),Can polar interrogation be marked by a question particle and verbal morphology?
GB286,clause,VP (other),Can polar interrogation be indicated by overt verbal morphology only?
GB291,clause,VP (other),Can polar interrogation be marked by tone?
GB298,clause,VP (other),"Can standard negation be marked by an inflecting word (""auxiliary verb"")?"
GB299,clause,VP (other),"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?"
GB522,clause,argument marking (core),"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?"
GB027,clause,argument marking (non-core),Are nominal conjunction and comitative expressed by different elements?
GB105,clause,argument marking (non-core),Can the recipient in a ditransitive construction be marked like the monotransitive patient?
GB130,clause,clause order,What is the pragmatically unmarked order of S and V in intransitive clauses?
GB131,clause,clause order,Is a pragmatically unmarked constituent order verb-initial for transitive clauses?
GB132,clause,clause order,Is a pragmatically unmarked constituent order verb-medial for transitive clauses?
GB133,clause,clause order,Is a pragmatically unmarked constituent order verb-final for transitive clauses?
GB134,clause,clause order,Is the order of constituents the same in main and subordinate clauses?
GB135,clause,clause order,Do clausal objects usually occur in the same position as nominal objects?
GB136,clause,clause order,Is the order of core argument (i.e. S/A/P) constituents fixed?
GB137,clause,clause order,Can standard negation be marked clause-finally?
GB138,clause,clause order,Can standard negation be marked clause-initially?
GB260,clause,clause order,Can polar interrogation be indicated by a special word order?
GB262,clause,clause order,Is there a clause-initial polar interrogative particle?
GB263,clause,clause order,Is there a clause-final polar interrogative particle?
GB264,clause,clause order,Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?
GB270,clause,clause order,Can comparatives be expressed using two conjoined clauses?
GB297,clause,clause order,Can polar interrogation be indicated by a V-not-V construction?
GB326,clause,clause order,Do (nominal) content interrogatives normally or frequently occur in situ?
GB328,clause,clause order,Can the relative clause precede the noun?
GB329,clause,clause order,Are there internally-headed relative clauses?
GB330,clause,clause order,Are there correlative relative clauses?
GB331,clause,clause order,Are there adjoined relative clauses?
GB421,clause,clause order,Is there a preposed complementizer in complements of verbs of thinking and/or knowing?
GB422,clause,clause order,Is there a postposed complementizer in complements of verbs of thinking and/or knowing?
GB140,clause,non-verbal predication,"Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?"
GB252,clause,non-verbal predication,Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?
GB253,clause,non-verbal predication,Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?
GB254,clause,non-verbal predication,Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?
GB256,clause,non-verbal predication,Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?
GB265,clause,non-verbal predication,"Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?"
GB266,clause,non-verbal predication,Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?
GB273,clause,non-verbal predication,Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?
GB275,clause,non-verbal predication,Is there a bound comparative degree marker on the property word in a comparative construction?
GB276,clause,non-verbal predication,Is there a non-bound comparative degree marker modifying the property word in a comparative construction?
GB324,clause,non-verbal predication,"Is there an interrogative verb for content interrogatives (who?, what?, etc.)?"
GB301,clause,number,Is there an inclusory construction?
GB156,clause,valency,Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?
GB302,clause,valency,Is there a phonologically free passive marker ('particle' or 'auxiliary')?
